location,crime_rate,flood_risk,weather_severity_index
"Berlin, Germany",0.381,0.276,0.166
"Johannesburg, South Africa",0.339,0.397,0.874
"Johannesburg, South Africa",0.168,0.584,0.743
"Dubai, UAE",0.662,0.899,0.681
"Lagos, Nigeria",0.395,0.729,0.978
"London, UK",0.274,0.14,0.144
"Johannesburg, South Africa",0.218,0.689,0.541
"New York, USA",0.823,0.493,0.756
"Toronto, Canada",0.211,0.115,0.581
"Johannesburg, South Africa",0.793,0.462,0.388
"Berlin, Germany",0.516,0.362,0.124
"New York, USA",0.125,0.184,0.687
"Johannesburg, South Africa",0.867,0.527,0.879
"Johannesburg, South Africa",0.542,0.853,0.747
"London, UK",0.354,0.8,0.146
"Lagos, Nigeria",0.315,0.548,0.731
"Berlin, Germany",0.354,0.265,0.764
Singapore,0.272,0.192,0.697
"Dubai, UAE",0.296,0.647,0.63
"Berlin, Germany",0.403,0.414,0.731
"New York, USA",0.517,0.518,0.619
Singapore,0.681,0.722,0.531
"New York, USA",0.342,0.582,0.583
"Johannesburg, South Africa",0.208,0.161,0.165
"London, UK",0.116,0.889,0.573
"Dubai, UAE",0.398,0.215,0.733
"New York, USA",0.733,0.884,0.544
"Berlin, Germany",0.363,0.506,0.601
Singapore,0.274,0.771,0.788
"Dubai, UAE",0.829,0.199,0.227
"Johannesburg, South Africa",0.63,0.789,0.775
"Toronto, Canada",0.881,0.204,0.436
Singapore,0.549,0.812,0.807
"London, UK",0.533,0.454,0.298
"London, UK",0.878,0.789,0.815
"Toronto, Canada",0.589,0.321,0.812
"London, UK",0.512,0.667,0.389
"Dubai, UAE",0.291,0.719,0.816
"London, UK",0.406,0.5,0.212
"Johannesburg, South Africa",0.55,0.792,0.829
"New York, USA",0.551,0.646,0.232
"London, UK",0.464,0.352,0.987
"Berlin, Germany",0.652,0.844,0.629
"New York, USA",0.226,0.372,0.804
"Lagos, Nigeria",0.794,0.685,0.607
"Berlin, Germany",0.69,0.654,0.621
"Lagos, Nigeria",0.759,0.206,0.535
"Dubai, UAE",0.128,0.442,0.224
"Johannesburg, South Africa",0.726,0.559,0.345
"New York, USA",0.692,0.249,0.942
"Berlin, Germany",0.116,0.18,0.435
"Johannesburg, South Africa",0.461,0.537,0.151
Singapore,0.344,0.223,0.818
Singapore,0.305,0.73,0.742
Singapore,0.226,0.784,0.377
"New York, USA",0.303,0.175,0.434
"Dubai, UAE",0.71,0.662,0.542
Singapore,0.826,0.686,0.228
"Lagos, Nigeria",0.381,0.153,0.993
"Toronto, Canada",0.328,0.577,0.44
"Dubai, UAE",0.335,0.597,0.872
"Dubai, UAE",0.527,0.51,0.846
"Dubai, UAE",0.136,0.652,0.339
"London, UK",0.56,0.298,0.171
"Dubai, UAE",0.836,0.309,0.503
Singapore,0.494,0.839,0.297
"Toronto, Canada",0.419,0.643,0.441
Singapore,0.132,0.418,0.927
"Dubai, UAE",0.538,0.637,0.627
"Toronto, Canada",0.209,0.699,0.48
"New York, USA",0.469,0.342,0.634
"New York, USA",0.347,0.516,0.194
"London, UK",0.309,0.192,0.784
Singapore,0.866,0.581,0.61
"Toronto, Canada",0.73,0.65,0.973
"Johannesburg, South Africa",0.196,0.695,0.455
Singapore,0.353,0.868,0.268
"Dubai, UAE",0.663,0.233,0.261
"Berlin, Germany",0.759,0.156,0.872
"New York, USA",0.521,0.854,0.515
"Dubai, UAE",0.82,0.619,0.363
"Toronto, Canada",0.389,0.55,0.81
"Lagos, Nigeria",0.161,0.439,0.763
"Dubai, UAE",0.853,0.453,0.919
"Johannesburg, South Africa",0.431,0.338,0.88
Singapore,0.118,0.6,0.188
"Johannesburg, South Africa",0.675,0.112,0.255
"Johannesburg, South Africa",0.301,0.535,0.515
"New York, USA",0.173,0.146,0.905
"London, UK",0.775,0.679,0.772
"Toronto, Canada",0.294,0.87,0.217
"New York, USA",0.535,0.248,0.271
"London, UK",0.59,0.32,0.518
"London, UK",0.856,0.531,0.72
"Lagos, Nigeria",0.417,0.492,0.276
"London, UK",0.501,0.753,0.175
"New York, USA",0.341,0.201,0.117
"New York, USA",0.473,0.543,0.218
"Dubai, UAE",0.106,0.838,0.469
"Berlin, Germany",0.787,0.634,0.878
"Toronto, Canada",0.153,0.315,0.137
"Toronto, Canada",0.297,0.15,0.712
"Lagos, Nigeria",0.675,0.435,0.221
"Toronto, Canada",0.613,0.474,0.542
"London, UK",0.701,0.206,0.359
"Johannesburg, South Africa",0.504,0.484,0.855
Singapore,0.843,0.641,0.698
"New York, USA",0.856,0.48,0.367
"London, UK",0.706,0.281,0.553
Singapore,0.357,0.867,0.781
"Toronto, Canada",0.133,0.192,0.88
"Dubai, UAE",0.539,0.587,0.658
"Dubai, UAE",0.107,0.683,0.653
"Berlin, Germany",0.748,0.316,0.193
"Johannesburg, South Africa",0.57,0.404,0.569
"Johannesburg, South Africa",0.595,0.449,0.834
"Toronto, Canada",0.148,0.618,0.714
"Johannesburg, South Africa",0.569,0.51,0.143
"Lagos, Nigeria",0.244,0.253,0.73
"New York, USA",0.422,0.814,0.462
"London, UK",0.355,0.392,0.716
"Toronto, Canada",0.297,0.406,0.83
"New York, USA",0.458,0.74,0.257
"Dubai, UAE",0.71,0.528,0.884
"Johannesburg, South Africa",0.287,0.285,0.275
"London, UK",0.508,0.832,0.359
"Toronto, Canada",0.385,0.744,0.712
"Toronto, Canada",0.623,0.58,0.755
"Dubai, UAE",0.554,0.51,0.483
"Toronto, Canada",0.62,0.64,0.201
"Lagos, Nigeria",0.886,0.389,0.926
"Lagos, Nigeria",0.506,0.655,0.412
"London, UK",0.182,0.131,0.971
"Johannesburg, South Africa",0.136,0.42,0.864
"London, UK",0.14,0.594,0.366
"New York, USA",0.382,0.597,0.773
"Berlin, Germany",0.68,0.157,0.346
"New York, USA",0.772,0.676,0.123
"Johannesburg, South Africa",0.575,0.168,0.337
"Dubai, UAE",0.484,0.693,0.244
"Berlin, Germany",0.777,0.83,0.377
"Toronto, Canada",0.145,0.88,0.53
"Toronto, Canada",0.359,0.583,0.235
"New York, USA",0.146,0.671,0.187
Singapore,0.845,0.287,0.558
Singapore,0.171,0.4,0.413
"Lagos, Nigeria",0.868,0.11,0.502
"Lagos, Nigeria",0.685,0.738,0.991
"London, UK",0.496,0.652,0.417
"London, UK",0.35,0.306,0.643
"New York, USA",0.53,0.492,0.535
"Johannesburg, South Africa",0.614,0.683,0.764
"Lagos, Nigeria",0.485,0.633,0.986
"Johannesburg, South Africa",0.834,0.356,0.571
"Toronto, Canada",0.211,0.396,0.415
"Dubai, UAE",0.203,0.223,0.246
"Johannesburg, South Africa",0.724,0.21,0.831
"Toronto, Canada",0.549,0.424,0.166
"Lagos, Nigeria",0.425,0.484,0.623
"New York, USA",0.756,0.861,0.788
"London, UK",0.851,0.504,0.273
Singapore,0.52,0.252,0.533
"New York, USA",0.555,0.235,0.457
"Lagos, Nigeria",0.144,0.376,0.289
"New York, USA",0.499,0.835,0.894
"Lagos, Nigeria",0.116,0.735,0.579
Singapore,0.425,0.495,0.871
"New York, USA",0.873,0.865,0.866
Singapore,0.71,0.272,0.982
"Berlin, Germany",0.688,0.448,0.928
"Toronto, Canada",0.728,0.101,0.759
"Johannesburg, South Africa",0.78,0.793,0.708
"Berlin, Germany",0.134,0.226,0.248
"Lagos, Nigeria",0.804,0.866,0.486
"Toronto, Canada",0.72,0.506,0.607
"Berlin, Germany",0.647,0.895,0.156
"Dubai, UAE",0.425,0.533,0.239
"Johannesburg, South Africa",0.34,0.464,0.677
"New York, USA",0.254,0.478,0.232
"New York, USA",0.373,0.769,0.405
"Toronto, Canada",0.803,0.39,0.134
"Lagos, Nigeria",0.145,0.783,0.253
"Dubai, UAE",0.681,0.809,0.599
"Berlin, Germany",0.168,0.331,0.678
"Lagos, Nigeria",0.193,0.841,0.193
Singapore,0.26,0.252,0.317
"New York, USA",0.639,0.761,0.456
"London, UK",0.781,0.235,0.714
"Johannesburg, South Africa",0.213,0.674,0.168
"London, UK",0.287,0.88,0.504
"Lagos, Nigeria",0.608,0.161,0.763
"New York, USA",0.465,0.257,0.226
"New York, USA",0.607,0.382,0.591
"London, UK",0.227,0.388,0.497
"London, UK",0.468,0.246,0.452
"Dubai, UAE",0.372,0.498,0.94
"Berlin, Germany",0.449,0.733,0.456
"Berlin, Germany",0.337,0.742,0.502
Singapore,0.215,0.473,0.156
"London, UK",0.633,0.351,0.429
Singapore,0.635,0.293,0.571
"Lagos, Nigeria",0.312,0.672,0.109
"Dubai, UAE",0.562,0.168,0.145
"Toronto, Canada",0.869,0.536,0.315
"New York, USA",0.53,0.533,0.768
"Johannesburg, South Africa",0.351,0.19,0.805
"New York, USA",0.347,0.477,0.821
"New York, USA",0.765,0.3,0.616
"Berlin, Germany",0.491,0.233,0.852
"London, UK",0.311,0.166,0.223
"Dubai, UAE",0.605,0.255,0.931
"Dubai, UAE",0.792,0.616,0.826
"Berlin, Germany",0.682,0.683,0.64
"London, UK",0.169,0.283,0.623
Singapore,0.373,0.559,0.2
"Johannesburg, South Africa",0.75,0.397,0.821
"Lagos, Nigeria",0.435,0.533,0.548
"Berlin, Germany",0.899,0.297,0.839
"London, UK",0.374,0.137,0.384
"Lagos, Nigeria",0.826,0.361,0.146
"Johannesburg, South Africa",0.468,0.229,0.555
"Berlin, Germany",0.849,0.687,0.893
"New York, USA",0.437,0.684,0.18
"Lagos, Nigeria",0.475,0.158,0.47
"Berlin, Germany",0.533,0.417,0.851
Singapore,0.132,0.174,0.306
"London, UK",0.167,0.672,0.336
"New York, USA",0.784,0.115,0.659
Singapore,0.312,0.45,0.878
"London, UK",0.602,0.222,0.619
"Johannesburg, South Africa",0.308,0.632,0.192
Singapore,0.382,0.271,0.936
"Toronto, Canada",0.583,0.425,0.582
"Toronto, Canada",0.371,0.104,0.408
"Berlin, Germany",0.681,0.891,0.778
"Lagos, Nigeria",0.513,0.703,0.722
"Dubai, UAE",0.705,0.232,0.376
Singapore,0.271,0.455,0.87
"Lagos, Nigeria",0.616,0.499,0.176
"Berlin, Germany",0.351,0.281,0.891
"Berlin, Germany",0.383,0.168,0.191
"Dubai, UAE",0.249,0.556,0.132
"New York, USA",0.203,0.768,0.878
"London, UK",0.805,0.557,0.159
"Dubai, UAE",0.857,0.605,0.992
"London, UK",0.415,0.573,0.174
Singapore,0.711,0.465,0.846
"Toronto, Canada",0.743,0.218,0.968
"Toronto, Canada",0.213,0.262,0.616
"Berlin, Germany",0.851,0.362,0.252
Singapore,0.747,0.335,0.246
Singapore,0.732,0.517,0.784
"Johannesburg, South Africa",0.84,0.437,0.161
"Johannesburg, South Africa",0.382,0.61,0.717
"Lagos, Nigeria",0.809,0.772,0.359
Singapore,0.898,0.139,0.934
"Lagos, Nigeria",0.285,0.47,0.599
"New York, USA",0.197,0.273,0.3
"Toronto, Canada",0.187,0.828,0.862
"New York, USA",0.402,0.536,0.985
"London, UK",0.747,0.807,0.77
"Johannesburg, South Africa",0.701,0.636,0.728
"Berlin, Germany",0.258,0.208,0.871
"Lagos, Nigeria",0.528,0.777,0.118
"Toronto, Canada",0.389,0.354,0.9
Singapore,0.765,0.695,0.325
"Toronto, Canada",0.743,0.507,0.631
"Dubai, UAE",0.748,0.684,0.503
"Berlin, Germany",0.52,0.522,0.49
"Berlin, Germany",0.746,0.842,0.505
"Dubai, UAE",0.687,0.508,0.715
Singapore,0.52,0.149,0.708
Singapore,0.718,0.462,0.438
"Johannesburg, South Africa",0.401,0.874,0.994
"Toronto, Canada",0.724,0.732,0.97
"Johannesburg, South Africa",0.599,0.605,0.241
"Toronto, Canada",0.79,0.221,0.719
Singapore,0.814,0.247,0.561
"Lagos, Nigeria",0.411,0.678,0.344
"Lagos, Nigeria",0.33,0.685,0.827
"Berlin, Germany",0.324,0.399,0.302
"London, UK",0.361,0.896,0.703
"London, UK",0.141,0.653,0.762
"Berlin, Germany",0.845,0.816,0.462
"Berlin, Germany",0.199,0.137,0.134
"New York, USA",0.802,0.599,0.388
Singapore,0.49,0.7,0.828
"Johannesburg, South Africa",0.82,0.738,0.706
"Johannesburg, South Africa",0.846,0.638,0.537
"Johannesburg, South Africa",0.757,0.585,0.741
"London, UK",0.426,0.697,0.294
"Toronto, Canada",0.43,0.131,0.933
"New York, USA",0.873,0.701,0.855
"New York, USA",0.369,0.364,0.129
"Dubai, UAE",0.429,0.709,0.703
"Berlin, Germany",0.333,0.722,0.35
"Lagos, Nigeria",0.511,0.321,0.546
"New York, USA",0.588,0.672,0.277
"Berlin, Germany",0.63,0.363,0.761
"New York, USA",0.227,0.68,0.14
"Dubai, UAE",0.377,0.252,0.598
"Lagos, Nigeria",0.897,0.162,0.199
"Berlin, Germany",0.157,0.571,0.377
"Lagos, Nigeria",0.398,0.254,0.274
"Lagos, Nigeria",0.269,0.816,0.49
"Toronto, Canada",0.325,0.227,0.533
"Lagos, Nigeria",0.474,0.586,0.693
"Lagos, Nigeria",0.889,0.658,0.505
"Lagos, Nigeria",0.75,0.102,0.752
"London, UK",0.293,0.796,0.826
"Toronto, Canada",0.21,0.681,0.994
"London, UK",0.585,0.716,0.211
"Lagos, Nigeria",0.801,0.145,0.468
"London, UK",0.26,0.382,0.329
"Berlin, Germany",0.256,0.614,0.752
"Dubai, UAE",0.647,0.283,0.564
"Dubai, UAE",0.338,0.766,0.2
"Dubai, UAE",0.133,0.427,0.157
"London, UK",0.342,0.741,0.551
"Berlin, Germany",0.269,0.801,0.416
"New York, USA",0.362,0.48,0.574
"Toronto, Canada",0.752,0.282,0.324
"Dubai, UAE",0.639,0.405,0.449
"London, UK",0.324,0.5,0.977
"Johannesburg, South Africa",0.427,0.464,0.317
"Johannesburg, South Africa",0.271,0.104,0.121
"Johannesburg, South Africa",0.543,0.168,0.93
"New York, USA",0.281,0.465,0.823
"Lagos, Nigeria",0.842,0.449,0.509
Singapore,0.316,0.812,0.579
"Berlin, Germany",0.67,0.321,0.402
"Johannesburg, South Africa",0.415,0.882,0.229
"Dubai, UAE",0.815,0.878,0.341
"London, UK",0.352,0.251,0.422
"New York, USA",0.113,0.12,0.6
"Dubai, UAE",0.185,0.258,0.354
"New York, USA",0.154,0.436,0.391
"Toronto, Canada",0.348,0.394,0.593
"Lagos, Nigeria",0.638,0.479,0.354
"Toronto, Canada",0.513,0.653,0.975
"London, UK",0.299,0.514,0.502
"Lagos, Nigeria",0.899,0.376,0.827
"London, UK",0.153,0.641,0.712
"Berlin, Germany",0.599,0.367,0.222
"London, UK",0.741,0.382,0.804
"Dubai, UAE",0.866,0.375,0.323
"Lagos, Nigeria",0.384,0.343,0.902
Singapore,0.556,0.66,0.75
"London, UK",0.301,0.24,0.745
Singapore,0.127,0.719,0.375
"Toronto, Canada",0.514,0.838,0.454
"Johannesburg, South Africa",0.573,0.321,0.758
"New York, USA",0.32,0.663,0.427
"London, UK",0.286,0.583,0.508
"Lagos, Nigeria",0.325,0.34,0.603
"Johannesburg, South Africa",0.519,0.289,0.368
"Toronto, Canada",0.644,0.855,0.787
Singapore,0.677,0.658,0.347
"Dubai, UAE",0.322,0.616,0.148
"Lagos, Nigeria",0.785,0.898,0.808
"Berlin, Germany",0.488,0.383,0.434
"New York, USA",0.539,0.283,0.861
"Toronto, Canada",0.283,0.364,0.661
"New York, USA",0.407,0.236,0.848
"London, UK",0.141,0.84,0.443
"Johannesburg, South Africa",0.562,0.658,0.604
Singapore,0.699,0.584,0.111
"New York, USA",0.535,0.745,0.331
"London, UK",0.361,0.513,0.887
"Dubai, UAE",0.768,0.253,0.497
"Toronto, Canada",0.146,0.223,0.672
"Lagos, Nigeria",0.299,0.518,0.352
Singapore,0.14,0.744,0.867
"Johannesburg, South Africa",0.414,0.277,0.634
"Johannesburg, South Africa",0.3,0.664,0.917
"Toronto, Canada",0.646,0.3,0.319
"Lagos, Nigeria",0.163,0.446,0.755
"Dubai, UAE",0.127,0.149,0.118
"Lagos, Nigeria",0.542,0.503,0.638
"New York, USA",0.697,0.235,0.371
Singapore,0.475,0.775,0.211
"Lagos, Nigeria",0.325,0.866,0.664
"Berlin, Germany",0.499,0.167,0.126
"Johannesburg, South Africa",0.371,0.527,0.241
"Berlin, Germany",0.337,0.663,0.434
"Johannesburg, South Africa",0.458,0.152,0.502
"New York, USA",0.591,0.543,0.917
"New York, USA",0.563,0.849,0.402
"Toronto, Canada",0.187,0.521,0.146
"Berlin, Germany",0.275,0.597,0.966
"Dubai, UAE",0.106,0.362,0.848
"Berlin, Germany",0.451,0.592,0.305
"Lagos, Nigeria",0.716,0.81,0.564
"Toronto, Canada",0.431,0.363,0.24
"Toronto, Canada",0.899,0.718,0.96
"Toronto, Canada",0.7,0.557,0.565
"London, UK",0.4,0.306,0.525
"Lagos, Nigeria",0.879,0.413,0.846
"New York, USA",0.613,0.386,0.216
Singapore,0.836,0.475,0.338
"Johannesburg, South Africa",0.17,0.19,0.759
Singapore,0.546,0.221,0.653
"Johannesburg, South Africa",0.827,0.403,0.243
"Johannesburg, South Africa",0.621,0.55,0.29
"Dubai, UAE",0.891,0.594,0.892
"Toronto, Canada",0.897,0.828,0.841
"Lagos, Nigeria",0.734,0.555,0.113
"Dubai, UAE",0.323,0.684,0.956
"Lagos, Nigeria",0.783,0.485,0.624
"Lagos, Nigeria",0.663,0.519,0.524
"Berlin, Germany",0.185,0.572,0.42
Singapore,0.41,0.518,0.438
"Dubai, UAE",0.8,0.348,0.545
"New York, USA",0.666,0.882,0.29
"Toronto, Canada",0.442,0.595,0.218
"New York, USA",0.59,0.377,0.605
"New York, USA",0.849,0.739,0.508
"Berlin, Germany",0.578,0.231,0.709
"New York, USA",0.282,0.894,0.543
Singapore,0.635,0.731,0.453
"New York, USA",0.313,0.178,0.409
"Lagos, Nigeria",0.595,0.779,0.62
"Lagos, Nigeria",0.616,0.307,0.351
"Toronto, Canada",0.389,0.61,0.836
Singapore,0.693,0.232,0.814
"London, UK",0.334,0.669,0.68
"Toronto, Canada",0.112,0.706,0.447
"Toronto, Canada",0.381,0.781,0.642
Singapore,0.79,0.49,0.66
"Lagos, Nigeria",0.561,0.543,0.71
"New York, USA",0.779,0.272,0.443
Singapore,0.203,0.513,0.476
"Berlin, Germany",0.254,0.525,0.92
"Dubai, UAE",0.232,0.747,0.2
"Johannesburg, South Africa",0.728,0.669,0.218
"Johannesburg, South Africa",0.59,0.659,0.992
Singapore,0.369,0.124,0.661
"Toronto, Canada",0.725,0.537,0.513
"Johannesburg, South Africa",0.448,0.894,0.208
"London, UK",0.592,0.702,0.68
"Toronto, Canada",0.784,0.768,0.798
"New York, USA",0.44,0.495,0.578
"Toronto, Canada",0.702,0.766,0.144
"New York, USA",0.553,0.754,0.56
"New York, USA",0.826,0.524,0.237
"Berlin, Germany",0.464,0.555,0.489
"Berlin, Germany",0.339,0.142,0.363
"Dubai, UAE",0.316,0.782,0.218
"Dubai, UAE",0.253,0.207,0.143
"Toronto, Canada",0.385,0.341,0.639
"Dubai, UAE",0.447,0.696,0.615
"Berlin, Germany",0.208,0.341,0.244
"London, UK",0.689,0.504,0.926
Singapore,0.85,0.223,0.887
"Lagos, Nigeria",0.429,0.333,0.342
"Dubai, UAE",0.84,0.687,0.554
Singapore,0.438,0.435,0.556
"Johannesburg, South Africa",0.276,0.551,0.262
Singapore,0.787,0.386,0.456
"Toronto, Canada",0.821,0.845,0.674
"Dubai, UAE",0.611,0.785,0.55
"Berlin, Germany",0.838,0.19,0.443
"London, UK",0.379,0.882,0.495
"Johannesburg, South Africa",0.355,0.748,0.679
"Lagos, Nigeria",0.784,0.227,0.929
"Dubai, UAE",0.325,0.133,0.926
"London, UK",0.793,0.814,0.86
"Dubai, UAE",0.291,0.706,0.504
"Toronto, Canada",0.656,0.32,0.992
"Lagos, Nigeria",0.755,0.862,0.243
"Dubai, UAE",0.794,0.825,0.516
"Berlin, Germany",0.872,0.271,0.586
"Johannesburg, South Africa",0.34,0.419,0.976
"Johannesburg, South Africa",0.535,0.138,0.533
Singapore,0.865,0.347,0.687
"New York, USA",0.108,0.497,0.311
"Dubai, UAE",0.592,0.151,0.571
Singapore,0.22,0.369,0.692
"Johannesburg, South Africa",0.452,0.221,0.305
"Berlin, Germany",0.167,0.839,0.57
"Dubai, UAE",0.369,0.764,0.692
"Johannesburg, South Africa",0.653,0.713,0.349
"Dubai, UAE",0.749,0.72,0.519
Singapore,0.549,0.111,0.833
"New York, USA",0.449,0.582,0.584
Singapore,0.374,0.573,0.294
"London, UK",0.826,0.894,0.293
"Dubai, UAE",0.258,0.606,0.736
"Johannesburg, South Africa",0.647,0.62,0.354
"New York, USA",0.213,0.405,0.122
"New York, USA",0.82,0.5,0.867
"London, UK",0.328,0.416,0.117
"Dubai, UAE",0.397,0.829,0.594
"Dubai, UAE",0.247,0.262,0.3
"Johannesburg, South Africa",0.847,0.22,0.799
"London, UK",0.81,0.898,0.225
"New York, USA",0.479,0.845,0.869
"New York, USA",0.124,0.574,0.614
"Toronto, Canada",0.824,0.718,0.252
"Berlin, Germany",0.87,0.189,0.684
"Johannesburg, South Africa",0.156,0.715,0.126
"Lagos, Nigeria",0.587,0.472,0.64
"London, UK",0.865,0.762,0.77
"London, UK",0.657,0.512,0.532
"New York, USA",0.513,0.681,0.234
"London, UK",0.374,0.372,0.278
"Berlin, Germany",0.692,0.685,0.232
"Dubai, UAE",0.89,0.318,0.464
"Toronto, Canada",0.611,0.863,0.26
"Dubai, UAE",0.504,0.636,0.37
"Johannesburg, South Africa",0.234,0.483,0.223
"Dubai, UAE",0.789,0.585,0.26
"Toronto, Canada",0.407,0.593,0.941
"Johannesburg, South Africa",0.716,0.784,0.113
Singapore,0.378,0.547,0.571
"New York, USA",0.197,0.551,0.488
"Dubai, UAE",0.635,0.569,0.353
"Dubai, UAE",0.537,0.718,0.818
"New York, USA",0.221,0.493,0.297
"Johannesburg, South Africa",0.764,0.27,0.903
"Lagos, Nigeria",0.342,0.434,0.714
"Berlin, Germany",0.454,0.4,0.698
"London, UK",0.497,0.147,0.966
"New York, USA",0.297,0.74,0.879
Singapore,0.502,0.769,0.539
"Lagos, Nigeria",0.154,0.314,0.619
"Toronto, Canada",0.25,0.359,0.798
"London, UK",0.321,0.357,0.285
"Dubai, UAE",0.387,0.514,0.681
"Toronto, Canada",0.299,0.475,0.345
"Toronto, Canada",0.477,0.809,0.163
"Berlin, Germany",0.627,0.495,0.984
"New York, USA",0.376,0.242,0.732
"New York, USA",0.13,0.698,0.734
"New York, USA",0.607,0.795,0.496
"Toronto, Canada",0.804,0.588,0.278
Singapore,0.2,0.712,0.896
"Lagos, Nigeria",0.248,0.28,0.668
"Berlin, Germany",0.124,0.82,0.324
"Berlin, Germany",0.275,0.16,0.248
"Toronto, Canada",0.337,0.819,0.768
"New York, USA",0.465,0.391,0.259
"Dubai, UAE",0.66,0.172,0.296
"Lagos, Nigeria",0.446,0.245,0.191
"New York, USA",0.392,0.891,0.777
"Berlin, Germany",0.647,0.398,0.668
"Lagos, Nigeria",0.616,0.719,0.482
Singapore,0.439,0.482,0.258
"London, UK",0.371,0.561,0.599
"London, UK",0.404,0.609,0.682
"Toronto, Canada",0.424,0.582,0.323
"London, UK",0.172,0.899,0.387
"Dubai, UAE",0.245,0.541,0.292
"Berlin, Germany",0.625,0.597,0.421
"Berlin, Germany",0.845,0.379,0.32
"London, UK",0.168,0.292,0.538
"Toronto, Canada",0.197,0.459,0.944
"Toronto, Canada",0.179,0.591,0.354
"Lagos, Nigeria",0.304,0.352,0.473
"London, UK",0.734,0.5,0.435
Singapore,0.769,0.752,0.278
"London, UK",0.813,0.439,0.976
"Dubai, UAE",0.727,0.563,0.567
"Berlin, Germany",0.467,0.84,0.642
"London, UK",0.555,0.599,0.263
"New York, USA",0.648,0.349,0.826
"Johannesburg, South Africa",0.298,0.556,0.887
"Toronto, Canada",0.536,0.789,0.558
"Dubai, UAE",0.512,0.222,0.386
"Toronto, Canada",0.713,0.759,0.331
"Dubai, UAE",0.287,0.18,0.18
Singapore,0.836,0.866,0.478
"Johannesburg, South Africa",0.409,0.228,0.626
"Dubai, UAE",0.495,0.473,0.523
"Lagos, Nigeria",0.368,0.861,0.571
Singapore,0.192,0.267,0.902
"London, UK",0.242,0.613,0.343
"Johannesburg, South Africa",0.892,0.69,0.626
"Toronto, Canada",0.38,0.13,0.237
"London, UK",0.192,0.575,0.666
"Berlin, Germany",0.456,0.708,0.182
"Toronto, Canada",0.21,0.876,0.229
"Johannesburg, South Africa",0.592,0.211,0.243
"Johannesburg, South Africa",0.119,0.791,0.663
"London, UK",0.548,0.604,0.716
"London, UK",0.649,0.682,0.11
"Dubai, UAE",0.165,0.693,0.845
"Lagos, Nigeria",0.218,0.679,0.82
"Toronto, Canada",0.72,0.838,0.295
"New York, USA",0.437,0.198,0.18
"Johannesburg, South Africa",0.174,0.327,0.624
Singapore,0.79,0.823,0.882
"Johannesburg, South Africa",0.69,0.465,0.416
"Dubai, UAE",0.25,0.425,0.969
"Toronto, Canada",0.378,0.531,0.977
"Berlin, Germany",0.554,0.348,0.113
"Johannesburg, South Africa",0.117,0.578,0.69
"London, UK",0.492,0.803,0.416
"Toronto, Canada",0.372,0.417,0.226
"London, UK",0.841,0.266,0.767
Singapore,0.281,0.225,0.744
"Lagos, Nigeria",0.419,0.658,0.146
"Lagos, Nigeria",0.23,0.159,0.225
"Toronto, Canada",0.203,0.16,0.169
"Johannesburg, South Africa",0.324,0.869,0.635
Singapore,0.753,0.634,0.358
"Lagos, Nigeria",0.402,0.251,0.606
"Dubai, UAE",0.249,0.606,0.716
"London, UK",0.114,0.563,0.414
"Berlin, Germany",0.539,0.723,0.414
"Dubai, UAE",0.496,0.439,0.774
"Toronto, Canada",0.268,0.113,0.418
Singapore,0.391,0.452,0.415
"Berlin, Germany",0.331,0.653,0.642
Singapore,0.669,0.866,0.163
"Lagos, Nigeria",0.394,0.772,0.408
"Lagos, Nigeria",0.476,0.119,0.218
"Johannesburg, South Africa",0.892,0.296,0.893
"London, UK",0.816,0.54,0.397
"Dubai, UAE",0.626,0.144,0.521
"Dubai, UAE",0.486,0.576,0.178
"Toronto, Canada",0.382,0.443,0.545
"Dubai, UAE",0.855,0.635,0.692
Singapore,0.83,0.276,0.14
"Toronto, Canada",0.232,0.25,0.399
"New York, USA",0.302,0.832,0.601
"London, UK",0.412,0.375,0.997
"Toronto, Canada",0.466,0.877,0.79
"Berlin, Germany",0.534,0.228,0.61
Singapore,0.131,0.703,0.288
"Lagos, Nigeria",0.154,0.261,0.972
"Berlin, Germany",0.476,0.673,0.281
Singapore,0.835,0.31,0.239
"Johannesburg, South Africa",0.694,0.365,0.483
"Dubai, UAE",0.534,0.613,0.766
"Lagos, Nigeria",0.123,0.127,0.182
"Johannesburg, South Africa",0.155,0.297,0.266
"London, UK",0.604,0.786,0.662
"Toronto, Canada",0.253,0.349,0.122
"Lagos, Nigeria",0.561,0.865,0.694
"Johannesburg, South Africa",0.463,0.215,0.158
"London, UK",0.248,0.677,0.432
"Berlin, Germany",0.472,0.231,0.474
Singapore,0.809,0.711,0.679
"Lagos, Nigeria",0.28,0.271,0.397
"Dubai, UAE",0.866,0.793,0.185
"Toronto, Canada",0.283,0.599,0.226
"Dubai, UAE",0.465,0.805,0.498
"Berlin, Germany",0.678,0.602,0.615
"London, UK",0.72,0.745,0.942
"Berlin, Germany",0.348,0.796,0.599
"Lagos, Nigeria",0.113,0.475,0.731
"Dubai, UAE",0.601,0.639,0.271
"Dubai, UAE",0.358,0.121,0.992
Singapore,0.517,0.497,0.231
"New York, USA",0.152,0.27,0.607
"New York, USA",0.413,0.192,0.952
"Toronto, Canada",0.605,0.897,0.52
"London, UK",0.167,0.898,0.913
"Toronto, Canada",0.479,0.27,0.629
"Lagos, Nigeria",0.45,0.818,0.867
